,user_id,text,audioFileName,audioLength,commentMsg,language,AIF,TAADNM,SVIU,ICA,BIN,IA,VIROA
6599,1425,தற்காலத்தில் பயன்பாட்டிலுள்ள பெரும்பாலான சீமைக்காரைகள் நீரியற் சீமைக்காரைகளாகும்.,230068_2,9.404,Too many difficult words in text (not used in day-to-day conversations);,Tamil,0,0,0,0,0,0,0
22652,912,"இந்தியாவில் செந்நாய்கள் வெப்பமண்டல, வறண்ட, ஈரப்பதமுள்ள, இலையுதிர் காடுகளில் வாழ்கின்றன.",228694_1,8.764,Text is fine;,Tamil,2,0,0,0,2,0,0
12374,1496,ஆண்டுகளுக்கு முன்னர் மீண்டும் இது நிரம்பியிருக்கலாம்.,229692_1,6.587999999999999,Text is fine;,Tamil,0,0,0,0,0,0,0
972,2445,சூழலியல் திணைக்களம் ஒன்றையும் இவ்வமைப்பு கொண்டிருக்கிறது.,230204_1,5.82,Text is fine;,Tamil,0,0,0,0,0,0,0
10452,2489,"இவர் தன் பதவிக்காலத்தை அக்டோபர் , இல் தொடங்கி சூலை, வரை இருந்தார்.",229377_1,6.268,Many spelling/grammar errors in text;Text is fine;,Tamil,0,0,0,0,0,0,0
22754,912,தொழிலாளர்களுக்கான ஊதியத்தை உயர்த்தித் தருவதன் மூலம் பொருளாதாரத்தை விரிவுபடுத்த முடியும் என்றார்.,228431_1,9.148,Text is fine;,Tamil,3,0,0,0,1,0,0
8780,1520,"விமானப்படைகள், கடற்படைகள் போன்றவற்றில் ஆற்றலில்லாத வெடிக்கும் ஆயுதங்கள் மிகவும் சாதாரணமாகப் பயன்படுத்தப்படுகின்றது.",228747_2,6.972,Text too long;,Tamil,1,1,0,1,0,0,0
30279,1637,மன்னன் என்பதால் வசதியான வாழ்க்கை வாழவில்லை.,227906_2,5.052,Text is fine;,Tamil,2,0,0,0,0,0,0
6935,1837,இதில் நூலகம் ஒன்று செயல்பட்டு வருகிறது.,230200_2,6.587999999999999,Text is fine;,Tamil,0,0,0,0,0,0,0
29222,2023,"இதன் நான்காவது தேர்வுத் துடுப்பாட்டப் போட்டியில் ஆகஸ்டு , இலண்டனில் நடைபெற்றது.",228066_1,8.38,Many spelling/grammar errors in text;Text too long;Too many difficult words in text (not used in day-to-day conversations);Text is fine;,Tamil,2,0,0,0,0,0,0
